"Gene.symbol","logFC","adj.P.Val"
"SGTB",-2.35464892336359,4.41966761636794e-13
"ITGB1",1.50065592913116,4.47514104086556e-13
"NEFH",-4.35000206245142,4.51163983465036e-13
"KRTCAP2",1.13474336724563,4.54145352958208e-13
"CNTLN",2.69911079070934,4.55264353702495e-13
"FLYWCH1",-1.61960586778777,4.62294733884471e-13
"OSTC",1.56438248389112,4.77083943782842e-13
"STOML1",-1.97827433540118,4.87453403224946e-13
"TMEM151B",-5.43882578146345,4.8782004476494e-13
"KLHL3",-3.98336084538534,5.26417321799895e-13
"HMOX2",-1.15466185902091,5.26417321799895e-13
"DNAJC10",1.56002761164819,5.26417321799895e-13
"CBX6",-1.59084335158699,5.57119446043265e-13
"MED1",1.38908496763649,5.6886848200919e-13
"KLC2",-2.02808070300277,5.6886848200919e-13
"SYT2",-2.36605746733629,5.70474249764141e-13
"CHN1",-2.9447119438814,5.70748957798294e-13
"MEG3",-5.42594616169468,5.76593965006023e-13
"CAPRIN1",1.35063291562952,5.81722044764435e-13
"ARL6IP6",1.80223103978211,5.83727850279217e-13
"INPP4A",-1.70228235139179,6.09322556097204e-13
"TTC28",2.04275436423629,6.27346771322248e-13
"MAL",-5.74587907368429,6.33191721157476e-13
"LOC284939",-2.72781871994898,6.38838863655692e-13
"SYNJ1",-2.17609300020467,6.60898762349897e-13
"SRCIN1",-5.58432627230191,6.75414719478739e-13
"PCNX2",-2.57778593302486,6.8602503689057e-13
"FBXO33",-1.81918063832999,6.86226580112371e-13
"PCSK2",-4.88248064110776,6.8985629763034e-13
"MAP6D1",-3.41206033240769,6.92046641185928e-13
"JAZF1-AS1",-1.19300739066963,7.01168148251155e-13
"TMEM43",1.54420379384805,7.02322961296933e-13
"RRM2",6.19513521435825,7.03143851705511e-13
"WSCD2",-4.63930560425023,7.05810069787917e-13
"AMN1",-2.61486618918679,7.22312966860327e-13
"SRBD1",2.17755021612662,7.29515960941961e-13
"MPP2",-2.37609219206063,7.3433399673449e-13
