"From","To","Correlation","P.Value","adj.P.Val"
"GPR26","LY86-AS1",0.856504285332655,1.40535218435957e-38,1.34344976671516e-36
"SDR16C5","HAR1A",0.856389161656771,1.47369971682877e-38,1.40321842602391e-36
"GPR22","LMO7",0.85629708381672,1.53070447745234e-38,1.45175869534752e-36
"CARMIL2","IQSEC3",0.856278661106453,1.54236699574885e-38,1.45708317363097e-36
"DCTN1-AS1","CREG2",0.855856986232299,1.8344783020081e-38,1.7255364976741e-36
"PHF24","CREG2",0.855848531196477,1.84085877917079e-38,1.7255364976741e-36
"GPR22","NECAB1",0.85577235172703,1.89933769894954e-38,1.77345136308893e-36
"PRSS3","SPTB",0.855631743981692,2.01210238252089e-38,1.86500927257021e-36
"CCKBR","FNDC9",0.855630803388633,2.012878417884e-38,1.86500927257021e-36
"LOC285147","IPCEF1",0.855504877165217,2.11947059290804e-38,1.95624699552317e-36
"CLEC2L","SVOP",0.85530296763126,2.30205108461518e-38,2.11665689421297e-36
"DCTN1-AS1","NPM2",0.854969966908939,2.63744819972439e-38,2.41382199391971e-36
"ANKRD34C","CARTPT",0.854962694124832,2.64528437689832e-38,2.41382199391971e-36
"GABRA4","LINC01123",0.854749836230873,2.88503201582245e-38,2.62265740608162e-36
"SDR16C5","NECAB1",0.85468488825515,2.96234207315748e-38,2.6828128023445e-36
"CNNM1","WEE1",-0.854529731091744,3.1553578598205e-38,2.84691276565827e-36
"SDR16C5","LINC00507",0.854439488217728,3.27324297467445e-38,2.94225459925028e-36
"DCTN1-AS1","WEE1",-0.854409332265131,3.31359145101419e-38,2.96745048531345e-36
"MCHR2","LOC100132207",0.853915225596526,4.04863564467063e-38,3.61228269185613e-36
"KRT222","SVOP",0.853855273775635,4.14805124841897e-38,3.68732673706321e-36
"CARMIL2","CNNM1",0.853548313361695,4.69583770589077e-38,4.15892390937164e-36
"SLC32A1","CREG2",0.853537792686333,4.71581966177245e-38,4.16132218505855e-36
"SDR16C5","LRTM2",0.853499367896293,4.78951159646643e-38,4.21092461163782e-36
"SDR16C5","RFPL2",0.853460928244148,4.86436270070294e-38,4.26118172581577e-36
"CNNM1","STYK1",0.853051455319421,5.73650548252749e-38,5.0069716331191e-36
"GLS2","CCKBR",0.852793025574711,6.36411321069798e-38,5.53471073089221e-36
"CREG2","LINC01123",0.852477505349426,7.22225238499327e-38,6.25841942282331e-36
"DLG2","SYN2",0.852360858723113,7.56744762336998e-38,6.53404348555494e-36
"ANKRD34C","TMEM191A",0.852276170625513,7.828163300204e-38,6.73501621078266e-36
"GPR26","PHF24",0.852151078958381,8.22946654761586e-38,7.05508359900591e-36
"SDR16C5","CREG2",0.852016169568987,8.6849054381054e-38,7.41912666680706e-36
"CARMIL2","CPNE9",0.851961974307958,8.874748541934e-38,7.55451209806325e-36
"ANKRD34C","SLC6A17",0.851863817722674,9.22900976712785e-38,7.82103054845485e-36
"GPR26","NPM2",0.851857365778957,9.25277586678968e-38,7.82103054845485e-36
"IQSEC3","SLC12A5",0.851654422131742,1.00317765224459e-37,8.44984253236786e-36
"ANKRD34C","CCKBR",0.851613947193893,1.01946674226934e-37,8.55712676699246e-36
"ANKRD34C","CAMK2A",0.85117036868717,1.21590566688588e-37,1.01705442761392e-35
"CARTPT","KCNV1",0.851159608101869,1.22110559972752e-37,1.01786968503239e-35
"CCKBR","RASAL1",0.851112777459787,1.24399133958183e-37,1.0333707369147e-35
"ANKRD34C","PRSS3",0.85096108232184,1.3210520902283e-37,1.09236869319036e-35
"GLS2","HAR1A",0.850955294488124,1.32408326447316e-37,1.09236869319036e-35
"PRSS3","RYR2",0.85074633272196,1.43821216774182e-37,1.18247546487715e-35
"SDR16C5","KCNV1",0.850735000741535,1.44467001981454e-37,1.18374492439906e-35
"GABRA4","GPR22",0.850716491197505,1.45527947193695e-37,1.18839601623597e-35
"MARCH11","SVOP",0.850569217988054,1.54246441473153e-37,1.25533674834063e-35
"LINC00507","NECAB1",0.850098597740215,1.85686836633254e-37,1.50612656380306e-35
